avg_weight_g,shrimp_count,biomass_kg,feed_amount,feeding_frequency,rolling_feed_kg_7d,dissolved_oxygen,temperature,ammonia,ph,salinity,days_normalized,weight_lag_7d,weight_lag_14d,days_to_harvest,harvest_biomass_kg,early_harvest_risk,weight_delta_next
8.2688,49643,410.4899,153.5699,5,43.765,5.2542,29.1164,0.2177,7.8639,20.4646,0.209075,6.2986,4.1699,65,775.3657,1,0.26835
21.091,193311,4077.1223,303.3786,2,97.8567,6.6545,29.7817,0.13,7.8952,20.4964,0.565271,19.823,18.3442,6,3971.1113,0,0.163422
17.5641,62675,1100.8298,182.8502,4,37.6072,4.757,29.2401,0.2519,7.9482,21.2768,0.505556,16.5343,15.2599,5,947.3858,1,0.126321
9.3367,188815,1762.9184,377.8669,5,51.092,4.7314,29.7785,0.281,7.8547,19.3259,0.244128,7.5363,5.5711,19,1974.046,1,0.243552
20.6326,164299,3389.9236,278.679,4,96.9188,7.4516,28.5463,0.113,7.8069,23.1861,0.320946,18.0857,15.1314,5,3332.7956,0,0.329649
17.2394,133841,2307.3345,153.5971,4,113.5419,4.519,29.1925,0.2734,7.6874,17.2797,0.529408,16.5471,15.5274,4,1933.6033,1,0.069885
20.0022,67468,1349.5111,255.8545,3,49.4348,5.1814,29.2866,0.2221,7.854,20.2269,0.566857,19.8407,19.1785,15,1154.8312,1,0.0
23.2454,66175,1538.2625,163.138,4,17.9009,6.0417,30.1895,0.1034,7.7159,20.9157,0.589115,22.352,21.1316,0,1438.8787,0,0.099201
7.4223,145837,1082.4508,169.909,5,100.4141,6.8304,28.4659,0.0421,7.8637,19.3104,0.083953,3.6794,1.9449,43,2885.1588,0,0.5054
18.8237,88514,1666.1631,150.3773,5,33.7215,4.6006,30.1352,0.2199,7.723,23.3681,0.588474,18.1017,17.1221,15,1364.6957,1,0.080789
15.0827,129237,1949.245,399.9206,2,38.7443,4.3416,29.6565,0.3079,7.9611,20.1746,0.647683,14.7269,14.1676,1,1651.6748,1,0.032502
15.8376,55234,874.7716,352.2228,2,107.2034,5.5107,28.7693,0.2011,7.881,21.3027,0.56411,14.9093,13.846,34,817.9719,1,0.121308
6.9609,149040,1037.446,309.1712,5,100.829,3.9659,28.8568,0.2809,7.9104,21.1604,0.159741,4.9228,2.7291,12,1302.6339,1,0.278285
19.4586,140063,2725.43,191.9313,2,87.3807,6.6617,29.3386,0.0954,7.8219,22.096,0.42108,17.6139,15.5181,12,2883.8083,0,0.242534
18.0023,88946,1601.2302,416.0188,2,28.3576,5.0735,30.065,0.2065,8.0027,21.4298,0.628458,17.9978,17.6862,15,1358.7543,1,0.0
22.9146,199543,4572.4515,414.4536,2,108.0095,6.1351,27.8131,0.1109,7.8974,20.048,0.498621,21.5739,19.8639,0,4290.107,0,0.159917
